title,sub,start,end,side
CUNY,Assistant Professor & Associate Director,2020.7,,1
Cornell University,Research Data Associate,2019.7,2020.7,0
Excelsior College,Executive Director,2015.9,2020.7,1
CUNY,Adjunct Associate Professor,2015.5,2020.7,0
Excelsior College,Director of Research & Project Evaluation,2014.1,2015.9,1
Excelsior College,Senior Research Analyst,2008.7,2014.1,1
Excelsior College,Senior Applications Developer,2006.9,2008.7,1
SUNY,Senior Software Engineer,2004.2,2006.9,1
MapInfo,Software Engineer,1999.9,2004.2,1
NYS AG's Office,Web Developer,1997,1999.9,1
University at Albany,Adjunct Instructor,2009,2015.5,0
